1678602747.529794 client started (45384): version 3.3a, socket /private/tmp/tmux-36154/default, protocol 8
1678602747.529848 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:42:11 PST 2023; root:xnu-8792.81.3~2/RELEASE_X86_64
1678602747.529873 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1678602747.533930 sending message 105 to peer 0x7fc280008000 (1744 bytes)
1678602747.533937 sending message 105 to peer 0x7fc280008000 (28 bytes)
1678602747.533943 sending message 105 to peer 0x7fc280008000 (37 bytes)
1678602747.533949 sending message 105 to peer 0x7fc280008000 (16 bytes)
1678602747.533955 sending message 105 to peer 0x7fc280008000 (15 bytes)
1678602747.533961 sending message 105 to peer 0x7fc280008000 (16 bytes)
1678602747.533967 sending message 105 to peer 0x7fc280008000 (42 bytes)
1678602747.533973 sending message 105 to peer 0x7fc280008000 (15 bytes)
1678602747.533979 sending message 105 to peer 0x7fc280008000 (8 bytes)
1678602747.533985 sending message 105 to peer 0x7fc280008000 (89 bytes)
1678602747.533991 sending message 105 to peer 0x7fc280008000 (66 bytes)
1678602747.533997 sending message 105 to peer 0x7fc280008000 (21 bytes)
1678602747.534004 sending message 105 to peer 0x7fc280008000 (18 bytes)
1678602747.534010 sending message 105 to peer 0x7fc280008000 (26 bytes)
1678602747.534015 sending message 105 to peer 0x7fc280008000 (60 bytes)
1678602747.534022 sending message 105 to peer 0x7fc280008000 (57 bytes)
1678602747.534027 sending message 105 to peer 0x7fc280008000 (45 bytes)
1678602747.534033 sending message 105 to peer 0x7fc280008000 (55 bytes)
1678602747.534039 sending message 105 to peer 0x7fc280008000 (13 bytes)
1678602747.534045 sending message 105 to peer 0x7fc280008000 (56 bytes)
1678602747.534051 sending message 105 to peer 0x7fc280008000 (14 bytes)
1678602747.534057 sending message 105 to peer 0x7fc280008000 (14 bytes)
1678602747.534063 sending message 105 to peer 0x7fc280008000 (19 bytes)
1678602747.534069 sending message 105 to peer 0x7fc280008000 (31 bytes)
1678602747.534074 sending message 105 to peer 0x7fc280008000 (22 bytes)
1678602747.534080 sending message 105 to peer 0x7fc280008000 (43 bytes)
1678602747.534086 sending message 105 to peer 0x7fc280008000 (32 bytes)
1678602747.534092 sending message 105 to peer 0x7fc280008000 (105 bytes)
1678602747.534098 sending message 105 to peer 0x7fc280008000 (38 bytes)
1678602747.534104 sending message 105 to peer 0x7fc280008000 (25 bytes)
1678602747.534110 sending message 105 to peer 0x7fc280008000 (22 bytes)
1678602747.534116 sending message 106 to peer 0x7fc280008000 (0 bytes)
1678602747.534206 cmd_pack_argv: argv[0]=attach
1678602747.534216 sending message 200 to peer 0x7fc280008000 (11 bytes)
1678602747.534222 client loop enter
1678602747.534706 peer 0x7fc280008000 message 303
1678602747.534731 open write file 2 -
1678602747.534773 sending message 305 to peer 0x7fc280008000 (8 bytes)
1678602747.534797 write check file 2
1678602747.534855 peer 0x7fc280008000 message 304
1678602747.534876 write 58 to file 2
1678602747.534888 peer 0x7fc280008000 message 203
1678602747.534895 file 2 58 bytes left
1678602747.534916 write check file 2
1678602747.534924 client loop exit
